氏名,身長,体重
福井　優也,178,85
九里　亜蓮,187,92
加藤　拓也,176,88
大瀬良　大地,187,93
今村　猛,183,98
岡田　明丈,185,90
野村　祐輔,177,82
永川　勝浩,188,98
中﨑　翔太,186,100
中村　恭平,185,82
薮田　和樹,188,84
横山　弘樹,187,86
中田　廉,189,91
床田　寛樹,181,76
江草　仁貴,178,83
一岡　竜司,179,82
高橋　昂也,181,87
塹江　敦哉,178,78
飯田　哲矢,182,80
藤井　皓哉,181,83
ジョンソン,193,93
高橋　樹也,176,75
小野　淳平,178,82
アドゥワ　誠,196,83
戸田　隆矢,181,76
辻　空,184,84
オスカル,178,78
ジャクソン,185,88
今井　啓介,183,89
長井　良太,181,80
ヘーゲンズ,190,95
中村　祐太,182,80
ブレイシア,183,102
佐藤　祥万,172,78
會澤　翼,177,91
石原　慶幸,177,90
白濱　裕太,180,92
磯村　嘉孝,178,89
船越　涼太,178,83
坂倉　将吾,176,82
多田　大輔,189,92
中村　亘佑,181,87
上本　崇司,170,71
田中　広輔,171,85
小窪　哲也,175,83
ペーニャ,180,91
梵　英心,173,76
堂林　翔太,183,88
新井　貴浩,189,102
菊池　涼介,171,72
桒原　樹,180,74
庄司　隼人,175,76
エルドレッド,196,122
美間　優槻,177,90
安部　友裕,181,81
西川　龍馬,176,70
青木　陸,181,87
バティスタ,189,115
メヒア,192,102
丸　佳浩,177,90
岩本　貴裕,182,96
下水流　昂,178,91
野間　峻祥,180,83
赤松　真人,182,75
土生　翔平,180,87
松山　竜平,176,98
天谷　宗一郎,178,87
髙橋　大樹,181,85
鈴木　誠也,181,90
