title	year
「情報化社会に参画する態度」の扱い方について (1999)	1999
情報倫理教育を支援する社会的環境に関する考察 (1999)	1999
「情報」授業の実践 (1999)	1999
高等学校における情報教育の実施状況と新学習指導要領実施への課題－栃木県内高等学校実態調査報告－ (1999)	1999
公立高校における情報教育の現状と今後の課題－神奈川県立高校の事例から－ (1999)	1999
Windows95で動作するFull BASIC言語処理系の現状と課題 (1999)	1999
大学における情報教育の新展開 -経営・法学教育と高等学校新教科「情報」との関連付け- (1999)	1999
情報教育とメディアリテラシー (1999)	1999
高校情報教科「情報Ｃ」教科書の一貫性のある構成 (1999)	1999
試作教科書の役割と反響 (1999)	1999
Web 情報検索サービスの教育利用についての考察 -大学生の利用履歴の調査から (1999)	1999
高等学校情報教育におけるエンドユーザコンピューティングの資質育成 (1999)	1999
事例報告：慶應義塾湘南藤沢中・高等部4年の情報教育 (1999)	1999
プログラミング入門者のためのプログラミング言語「若葉」とその処理系 (1999)	1999
情報工学系大学院生による公立小学校での情報教育支援 (1999)	1999
パネル討論 情報教育の課題とその克服に向けて (1999)	1999
「情報倫理」を考える視点 (1999)	1999
教科「情報」と教員養成 (1999)	1999
学校ネットワークの構築・管理運用モデル (1999)	1999
教科「情報」と指導要領の解説 (1999)	1999
小学校教科授業におけるコンピュータの果たし得る役割 (1999)	1999
統計学におけるコンピュータ演習でのデータ駆動型教材の設計と実践について (1999)	1999
普通教科「情報」におけるWWW情報発信教育の位置付け (1999)	1999
情報教育におけるコミュニケーション (1999)	1999
高校新教科「情報」の指導法の提案 (1999)	1999
新教科「情報」と大学での情報教育 (1999)	1999
情報教育支援活動と教員養成 (1999)	1999
創造性開発指向アニメーション作成システムにおけるユーザ育成モデルの自動生成 (1999)	1999
リテラシーとしてのプログラミング (2000)	2000
イメージ的モデルよりも前に大切な教育法 (2000)	2000
教育観，学習観の転換とインターネット新時代 (2000)	2000
Web環境を意識した校内情報通信網におけるコミュニケーション能力資質の育成 (2000)	2000
問題解決の手順をデザインする第一歩は (2000)	2000
教科内容中心の情報教育から学習者中心の情報教育へ---学習指導のパラダイム転換--- (2000)	2000
ロボットを用いた初級プログラミング教育の試み (2000)	2000
教科「情報」の課題 (2000)	2000
試作教科書「情報」の検討 (2000)	2000
指導案:ネットワーク入門 (2000)	2000
大学と地元自治体連携による初等中等教育者向け情報教育公開講座開催の試み (2000)	2000
ペンを用いた一般教科向け授業支援システムとそのインタフェース評価 (2000)	2000
情報教育における「情報」の把握 (2000)	2000
学校教育用オブジェクト指向言語/環境の構想について (2000)	2000
コンピュータリテラシー教育における習熟度別クラス編成 (2000)	2000
教科「情報」における教科書の役割と教科書制度 (2000)	2000
情報教育は情報化されているか? (2000)	2000
情報リテラシ教育におけるCollaborationについて (2000)	2000
21世紀の我が国情報教育の課題--情報教育先進地域との比較 (2000)	2000
高校「情報」必修後の大学の「一般情報教育」の目的と内容の提言 (2000)	2000
情報教育と心的表象の関わり (2000)	2000
ホームページ作成授業におけるHTML文法チェッカーの役割 (2000)	2000
情報の科学的な理解を重視した情報教育手法の提案 (2000)	2000
学校と家庭・地域社会・自治体の協働学習支援ネットワークの構築と授業実践 (2001)	2001
自治体と民間の共同による、長野市マルチメディア教育利用共同研究の実践報告 (2001)	2001
小・中学校の情報教育に対するボランティアによるサポートシステムの構築について (2001)	2001
麹町学園女子中学校の情報教育の取り組みについて (2001)	2001
次世代の情報教育に向けて: 慶応義塾湘南藤沢中高等部での取り組み (2001)	2001
中学校における情報教育（東京学芸大学附属中学校での検討課題） (2001)	2001
分かる事業実現のための動画教材の開発と授業実践 (2001)	2001
講義改善支援のためのWebベース講義アンケートシステムの提案 (2001)	2001
専門学校・塾・家庭教師のコンピュータを用いた教育実践例 (2001)	2001
次々期の教育課程における教科『情報』の構成と教員養成についての提言 (2001)	2001
遠隔教育システムにおける活動記録の可視化による利用者支援機構 (2001)	2001
情報メディアと教育システム (2001)	2001
オブジェクト指向言語「ドリトル」を利用した情報教育について (2001)	2001
教育事業への低コスト・高可用性を目指した情報基盤システム (2001)	2001
教育事業への情報通信システムの効果検証の試み (2001)	2001
高校「情報」授業の支援システムの開発 (2001)	2001
ホームスクールも認められる社会へ (2001)	2001
メディア・リテラシーとしてのメディア概論 (2001)	2001
教育学部における「情報教育専攻」の設立と「情報」教員の養成 (2001)	2001
専門学校と大学における情報基礎教育の比較 (2001)	2001
WWWを用いた講義支援システムの開発 (2001)	2001
海浜体験学習を生かすためのマルチメディア総合学習教材の試作 (2001)	2001
個人学習支援のための英語教材作成の自動化 (2001)	2001
高等学校における新教科「情報」における情報メディア教育について (2001)	2001
情報倫理教育のためのWebベース教材の開発と活用 (2001)	2001
Webライクな校内情報通信網を活用した情報教育の評価と今後の課題 (2001)	2001
WebCTによる新しい学校教育スタイルの模索 (2001)	2001
テレビ会議システムを活用した看護系学科の遠隔授業 (2001)	2001
チーム・ティーチング・テレビ会議システム・ＷＷＷを利用した総合的な学習の時間の実践報告 (2001)	2001
コンピュータ活用による技術・技能の習得における知識獲得のための情報共有と今後の支援環境　～成人の職業訓練指導について～ (2001)	2001
仮想三次元空間での外国語教育を支援するTAロボットシステム (2001)	2001
教科「情報」における科学的理解のための数学―コンピュータゲームを活用した２進数の構造的理解― (2001)	2001
環境教育へのトライ：ＩＳＯ１４００１ (2001)	2001
お茶の水女子大学における情報科教育法の試み (2001)	2001
総合大学における教育用計算機システムの構成方法 (2001)	2001
EUC（End User Computing）・EUD（End User Developing）を目指した情報基礎教育カリキュラムの開発 (2001)	2001
ゲームプログラミングを題材としたプログラミング教育の試み (2001)	2001
VODを用いた情報基礎教育コンテンツの開発 (2001)	2001
静岡大学情報学部における「情報」科教員養成 (2001)	2001
児童全員が一人一台のパソコンを持つ小学校 (2001)	2001
情報倫理と情報科教育法における情報倫理分野の取扱 (2001)	2001
情報倫理を融合させた情報基礎教育の構造化 (2002)	2002
「作・文書」教育のための電子原稿用紙の仕様について (2002)	2002
教育用オブジェクト指向言語「ドリトル」による授業実施とその評価 (2002)	2002
ペア・プログラミングを応用した実習型授業の運営 (2002)	2002
目的に応じて抽象度が変更可能な計算機シミュレータECASを用いた教育とその評価 (2002)	2002
リスクマネジメントを活用した情報倫理の指導法について (2002)	2002
サイバー学習空間の構築と運用 (2002)	2002
富士ゼロックス「情報塾」の試み (2002)	2002
学校のIT化は学校のGLOBAL化 (2002)	2002
「情報科教育法」科目-手探りの1年目 (2002)	2002
分散知を重視した学習プロセス構築のための実践的研究 (2002)	2002
ITを用いた今後の教育 (2002)	2002
Web技術による出欠管理とファカルティディベロップメントのためのシステム構築について (2002)	2002
教員向けグループウェア導入に必要な導入前の組織文化変革 (2002)	2002
情報科教職学生が高校情報教育について考えたこと-学習指導要領、情報科の教育手法、免許制度、将来の予想とあるべき姿、等 (2002)	2002
教育実践報告:OSインストール演習および無線LAN利用 (2002)	2002
モデリングを中心にしたオブジェクト指向技術者養成カリキュラム (2002)	2002
次世代VRMLシステムアーキテクチャに関する研究開発についての経過報告 (2002)	2002
「物語」導入型教材コンテンツを用いたオブジェクト指向プログラミング教育の実践例 (2002)	2002
国際交流学習の支援者をつなぐコンピュータシステムの在り方 (2002)	2002
工学教育における国際協働学習アイアーンソーラークッカープロジェクトの試み (2002)	2002
高等学校における新教科「情報」の分析と高等専門学校における情報基礎教育 (2002)	2002
電子掲示板及び電子メールによる国際協働学習の取り組み (2002)	2002
ラジコンカーを用いた計算機の動作原理教育 (2002)	2002
画面を飛び出したオブジェクト: 自立型ロボットを活用した情報教育の提案 (2002)	2002
html言語実習支援WWW教材の作成と教育評価 (2002)	2002
高校数学教育での実践的ウェブ利用の試み (2002)	2002
モバイル情報通信機器の教育への応用例 (2002)	2002
セキュリティレベルに応じた校内情報コンセントシステムの構成方式と運用例 (2002)	2002
Artifact Centered Discourseを支援するオンライン・ソフトウェアの設計と開発 (2002)	2002
3教室合同遠隔授業の評価 (2002)	2002
学習素材コンテンツ集「情報機器と情報社会のしくみ」の開発 (2002)	2002
中等教育学校における「情報」のカリキュラムと授業実践 (2002)	2002
京都女子大学における情報教育環境の構築と運用 (2002)	2002
学習者別管理機能を備えた報告書提出システムの開発 (2002)	2002
情報工学系大学院生による総合的な学習の時間の支援実践報告 (2002)	2002
表計算ソフトおよびプログラミング言語の両方に対応した数値処理教材の制作 (2002)	2002
青春１８切符を活用した，調べ学習・体験学習 (2003)	2003
教育実習での経験・情報教員採用の現状・そこから見る今後の情報教育 (2003)	2003
情報倫理ビデオ教材の作成と評価 (2003)	2003
学生が作成した類似問題を利用するオンラインテスト機能の実装・評価 (2003)	2003
「情報」免許を取得しない学生も対象とした「情報科教育法」の実施 (2003)	2003
職業科、定時制・通信制高校における教科「情報」の導入を契機とする変化 (2003)	2003
情報教育における興味を持った生徒への学習環境の構築と高大連携の取り組み (2003)	2003
（仮称）x-file概念に基づく電子原稿用紙仕様の概念モデル (2003)	2003
情報教育におけるメディア・リテラシーの可能性 (2003)	2003
文系大学生のためのオブジェクト指向プログラミング教育実践 (2003)	2003
Web教材の操作履歴を用いた講義動画像の自動インデクシング (2003)	2003
もう一つのe-learning (2003)	2003
情報の科学的理解の教育：作文にみる学生の理解 (2003)	2003
端末を飛び出したオブジェクト: 分散プログラミングを活用した情報教育の提案 (2003)	2003
ベンチャービジネスを仮想体験するインターネットマネージメントゲームの開発 (2003)	2003
知識社会におけるディジタル情報リテラシー (2003)	2003
ＩＴ教育における成果物指向アプローチの試み (2003)	2003
知識とノウハウ蓄積システムを活用した映像情報の収集・編集・発信を学習するための教材制作 (2003)	2003
一般教育としてのツールを用いた３次元CGの教育実践 (2003)	2003
教師のための情報リテラシの検討 (2003)	2003
三重県の高等学校における情報教育の現状 (2003)	2003
科学教育と情報教育の融合的教材―WebGISに基づく空間情報eラーニングシステム― (2003)	2003
