都道府県,消費支出,生鮮魚介,牛肉,豚肉,鶏肉
北海道,887304,9260,2487,8533,5111
青森県,738834,10525,2624,7984,4017
岩手県,868872,8347,2466,8491,4152
宮城県,874182,8678,2250,9029,3979
秋田県,817538,9502,2355,10309,5179
山形県,984590,8040,4735,7975,3555
福島県,996052,7795,2168,8580,3775
茨城県,1004863,9317,3394,7201,3597
栃木県,978592,7316,3326,8481,4027
群馬県,910535,8026,2373,8274,4187
埼玉県,1079844,9567,3706,9047,4785
千葉県,988180,11789,5332,9784,4486
東京都,1083568,11644,5930,9027,5012
神奈川県,1031754,11684,5827,9711,5496
新潟県,821631,8430,2273,9411,3786
富山県,1004141,11880,4606,8478,4447
石川県,894964,9812,4066,7792,4432
福井県,977009,9594,6082,7883,4970
山梨県,852289,8051,3303,9154,4097
長野県,1004681,9886,3022,8206,3966
岐阜県,912301,8681,5154,6946,3409
静岡県,905183,9125,2583,8996,4738
愛知県,1041256,9679,5362,9307,5371
三重県,851287,10729,7282,7806,4968
滋賀県,959661,9571,8128,9738,4818
京都府,912748,11012,10799,10202,5820
大阪府,852841,10054,7441,8757,5010
兵庫県,841856,8994,6586,8710,5849
奈良県,951726,10128,7919,8139,5229
和歌山県,800993,9258,8855,8691,5187
鳥取県,850135,8790,4803,7990,4714
島根県,934900,11240,5190,9136,5599
岡山県,947750,10168,6683,9346,6630
広島県,1129703,9805,6809,9687,5490
山口県,933143,8909,8719,7539,5858
徳島県,927031,8207,5623,8188,4841
香川県,949612,8687,5571,8469,5783
愛媛県,1002441,8011,6524,8470,4878
高知県,875004,8540,5183,7047,4697
福岡県,817651,9000,5782,8256,5436
佐賀県,883517,9044,5810,8228,5245
長崎県,817397,11023,5780,8759,5111
熊本県,968364,8841,5943,8355,5592
大分県,775340,8977,6623,8522,6070
宮崎県,783314,9209,4461,7611,5388
鹿児島県,943815,7827,5989,7712,5853
沖縄県,758860,6850,3628,7146,3893
